iter_count,highest_fit,best_circuit,no_units,iter_max,best_count_lim,p_mutation,p_crossing,no_circuits,value_weight,waste_weight
974,139.69,0 7 2 9 5 7 4 1 8 7 3 9 0 10 9 6 1 1 11 10 7 ,10,5000,200,0.001,0.9,100,100,500
577,126.437,0 4 5 8 4 8 9 1 0 8 2 4 7 1 3 4 11 10 1 8 6 ,10,5000,200,0.001,0.9,100,100,500
1376,165.753,7 9 1 9 5 3 6 4 8 10 9 9 2 8 11 9 0 4 7 4 3 ,10,5000,200,0.001,0.9,100,100,500
1327,141.395,1 4 3 6 7 5 11 4 1 10 6 6 0 4 5 6 9 6 2 6 8 ,10,5000,200,0.001,0.9,100,100,500
750,165.753,9 6 8 5 3 1 7 5 9 6 0 10 6 5 1 3 11 6 2 6 4 ,10,5000,200,0.025,0.9,100,100,500
388,143.378,5 6 2 10 6 6 9 4 7 1 5 6 0 8 4 4 11 10 1 6 3 ,10,5000,200,0.025,0.9,100,100,500
1039,165.753,2 8 2 8 7 1 9 1 6 0 11 7 4 1 5 8 0 10 1 1 3 ,10,5000,200,0.025,0.9,100,100,500
1083,165.023,6 8 2 10 8 9 5 8 0 1 6 9 7 8 3 4 11 1 9 1 4 ,10,5000,200,0.025,0.9,100,100,500
396,60.9431,3 5 8 10 5 5 4 5 2 5 0 6 3 10 1 8 0 7 9 7 11 ,10,5000,200,0.025,0.9,100,100,500
771,165.023,0 7 9 6 3 4 0 0 11 10 7 7 1 4 2 4 6 7 5 7 8 ,10,5000,200,0.025,0.9,100,100,500
311,32.9507,1 3 11 3 0 5 7 5 9 0 1 10 6 2 8 6 2 5 3 2 4 ,10,5000,200,0.025,0.9,100,100,500
530,141.91,3 10 2 5 8 10 5 5 1 5 9 0 6 0 3 6 11 5 4 3 7 ,10,5000,200,0.025,0.9,100,100,500
866,142.842,4 10 6 6 2 5 3 4 8 6 7 9 4 9 5 6 1 4 11 10 0 ,10,5000,200,0.025,0.9,100,100,500
556,139.69,1 3 1 9 6 10 3 10 9 7 11 9 8 9 5 3 0 7 4 2 7 ,10,5000,200,0.025,0.9,100,100,500
789,165.753,1 3 9 0 8 3 1 10 0 2 11 9 4 0 7 0 5 0 6 3 2 ,10,5000,200,0.005,0.9,100,100,500
743,165.753,8 4 8 9 7 4 9 2 1 10 2 2 6 2 3 0 11 2 5 4 0 ,10,5000,200,0.005,0.9,100,100,500
691,165.753,6 10 2 0 6 0 4 2 5 0 1 2 7 2 9 4 8 1 11 2 3 ,10,5000,200,0.005,0.9,100,100,500
929,165.753,0 1 5 8 6 6 3 9 11 1 2 1 7 8 9 1 4 10 1 8 0 ,10,5000,200,0.005,0.9,100,100,500
555,165.753,9 1 3 2 6 10 1 1 4 1 8 2 9 2 5 5 11 6 7 1 0 ,10,5000,200,0.005,0.9,100,100,500
697,165.753,7 4 6 10 4 3 8 1 9 1 3 4 2 4 5 4 0 9 11 1 7 ,10,5000,200,0.005,0.9,100,100,500
303,40.4796,9 6 5 6 3 4 0 0 9 3 0 6 1 10 2 3 1 7 11 2 8 ,10,5000,200,0.005,0.9,100,100,500
657,165.753,0 1 2 9 7 1 4 6 11 1 5 1 8 9 0 9 6 7 3 10 1 ,10,5000,200,0.005,0.9,100,100,500
811,165.753,0 5 6 5 2 5 9 8 11 7 8 7 4 5 1 10 5 7 0 4 3 ,10,5000,200,0.005,0.9,100,100,500
536,165.753,8 6 8 2 5 6 9 9 4 0 11 2 3 10 2 2 1 2 7 6 0 ,10,5000,200,0.005,0.9,100,100,500
321,47.1267,5 3 6 7 0 7 0 8 1 1 11 1 9 7 5 1 8 10 2 3 4 ,10,5000,200,0.01,0.9,100,100,500
601,68.3671,6 3 7 4 11 7 1 10 4 8 0 0 9 4 2 3 9 5 3 3 6 ,10,5000,200,0.01,0.9,100,100,500
1032,165.753,2 5 11 6 9 6 1 4 0 8 5 8 2 8 4 6 3 10 6 6 7 ,10,5000,200,0.01,0.9,100,100,500
820,165.753,0 6 3 2 0 10 6 6 8 9 5 1 11 2 9 6 4 6 7 2 1 ,10,5000,200,0.01,0.9,100,100,500
733,165.753,7 6 2 0 3 6 8 0 5 8 11 2 4 10 0 0 9 6 7 0 1 ,10,5000,200,0.01,0.9,100,100,500
256,30.3138,0 1 4 9 3 8 7 4 6 1 2 8 0 1 5 0 11 9 2 10 1 ,10,5000,200,0.01,0.9,100,100,500
1113,165.753,2 10 9 9 3 9 1 9 6 5 7 0 8 9 4 8 11 0 2 0 5 ,10,5000,200,0.01,0.9,100,100,500
290,27.5963,8 3 9 2 5 10 4 2 8 5 7 0 3 0 11 1 6 3 4 1 0 ,10,5000,200,0.01,0.9,100,100,500
633,165.753,1 4 1 6 5 3 8 4 0 10 6 6 7 4 3 6 9 0 11 6 2 ,10,5000,200,0.01,0.9,100,100,500
708,165.753,5 3 9 0 4 0 6 10 0 0 2 0 1 9 8 3 5 7 11 3 7 ,10,5000,200,0.01,0.9,100,100,500
